Department,n_years,avg_female,sd_female,avg_male,sd_male,nu,t_val,sderror,diff,ci_lower,ci_upper,dept,dept_code,dept_f,dept_new,male_female,not_enough
Liberal Arts and Sciences- Open Option [STATA 27],3,4,2,4.666666666666667,3.2145502536643185,3.3466063348416277,3.0038693563225305,2.185812841434,0.666666666666667,-5.8992295463732045,7.232562879706538,Liberal Arts and Sciences- Open Option ,STATA 27],Liberal Arts and Sciences- Open Option ,Liberal Arts and Sciences- Open Option ,Not Significantly Different,3 or more years
Liberal Studies [STATA 28],11,59.18181818181818,9.495453457504615,68.0909090909091,11.085617217408739,19.538959107978076,2.089123331758705,4.4009766008605755,8.909090909090914,-0.28509199029103094,18.103273808472856,Liberal Studies ,STATA 28],Liberal Studies ,Liberal Studies ,Not Significantly Different,3 or more years
Linguistics [STATA 29],11,33,15.504837954651444,12.545454545454545,5.007267445696033,12.063471731242567,2.1775420689586773,4.912624990523972,-20.454545454545453,-31.151993040429126,-9.75709786866178,Linguistics ,STATA 29],Linguistics ,Linguistics ,Significantly More Female,3 or more years
Mathematics [STATA 30],11,58.36363636363637,15.768783892695893,94.63636363636364,16.21895636144772,19.984174227209888,2.0860693515501483,6.820484459659945,36.27272727272727,22.04472367870659,50.50073086674796,Mathematics ,STATA 30],Mathematics ,Mathematics ,Significantly More Male,3 or more years
Meteorology [STATA 31],11,37.36363636363637,3.6952057391362465,67.18181818181819,7.124860445204268,15.016689864479707,2.131243236679621,2.4199583358205645,29.81818181818182,24.66066198191777,34.97570165444587,Meteorology ,STATA 31],Meteorology ,Meteorology ,Significantly More Male,3 or more years
Music (Curriculum) [STATA 32],11,49.36363636363637,8.393720596645176,54,6.752777206453653,19.122915480461582,2.0921138741497924,3.2481399636007833,4.636363636363633,-2.159115046665967,11.431842319393233,Music (Curriculum) ,STATA 32],Music (Curriculum) ,Music (Curriculum) ,Not Significantly Different,3 or more years
Music (Major),7,8.285714285714286,1.7043362064926932,10.285714285714286,2.7516228977511745,10.013102544652092,2.22774370886732,1.2233554836823932,2,-0.725322482481789,4.725322482481789,Music (Major),NA,Music (Major),Music (Major),Not Significantly Different,3 or more years
Open Option (LAS) [STATA 34],11,401.54545454545456,34.25306887379184,370.3636363636364,33.96254621571453,19.99854910780388,2.085973149072109,14.543749900112584,-31.181818181818187,-61.519689960273205,-0.8439464033631694,Open Option (LAS) ,STATA 34],Open Option (LAS) ,Open Option (LAS) ,Significantly More Female,3 or more years
Performing Arts [STATA 35],11,33,3.3763886032268267,24.727272727272727,5.349596416383372,16.87588853220837,2.110998174474116,1.9073585213392945,-8.272727272727273,-12.299157629342172,-4.246296916112374,Performing Arts ,STATA 35],Performing Arts ,Performing Arts ,Significantly More Female,3 or more years
Philosophy [STATA 36],11,5.181818181818182,1.7786613965666325,24.636363636363637,6.454033270331465,11.51027560936753,2.18913880954374,2.0185093919249564,19.454545454545453,15.035748207253995,23.87334270183691,Philosophy ,STATA 36],Philosophy ,Philosophy ,Significantly More Male,3 or more years
Physics [STATA 37],11,13.363636363636363,5.005451573489195,65.0909090909091,10.995040204151556,13.974279998833175,2.1451570901181185,3.6424948311619225,51.727272727272734,43.91354911448714,59.54099634005833,Physics ,STATA 37],Physics ,Physics ,Significantly More Male,3 or more years
Political Science [STATA 38],11,93.54545454545455,19.597773528457953,144.0909090909091,14.272032409257942,18.278450662211817,2.0986302798365557,7.3097919157278115,50.54545454545455,35.204903891803696,65.8860051991054,Political Science ,STATA 38],Political Science ,Political Science ,Significantly More Male,3 or more years
Pre-Advertising,8,75.875,18.93173827955886,42.125,6.8959097607619135,8.825372517960764,2.268998789933187,7.1235900860651515,-33.75,-49.91341728526188,-17.58658271473812,Pre-Advertising,NA,Pre-Advertising,Pre-Advertising,Significantly More Female,3 or more years
Pre-Biological/Pre-Medical Illustration [STATA 40],11,25.363636363636363,8.582222640700103,7.090909090909091,2.256304299271065,11.375801966413855,2.1921465146415677,2.6755705346617966,-18.272727272727273,-24.137969894963806,-12.40748465049074,Pre-Biological/Pre-Medical Illustration ,STATA 40],Pre-Biological/Pre-Medical Illustration ,Pre-Biological/Pre-Medical Illustration ,Significantly More Female,3 or more years
Pre-Computer Science [STATA 41],11,16.727272727272727,8.521630232425121,172.8181818181818,57.19059045300754,10.443825425821164,2.2153704811380535,17.433984101544105,156.0909090909091,117.46817534371814,194.71364283810004,Pre-Computer Science ,STATA 41],Pre-Computer Science ,Pre-Computer Science ,Significantly More Male,3 or more years
Pre-Journalism & Mass Comm.,8,162.125,27.84876247571104,91.5,20.177781274036477,12.761698462505148,2.164476611048169,12.158826159273294,-70.625,-96.94249483954769,-44.307505160452315,Pre-Journalism & Mass Comm.,NA,Pre-Journalism & Mass Comm.,Pre-Journalism & Mass Comm.,Significantly More Female,3 or more years
Pre-Liberal Studies [STATA 43],6,20.833333333333332,5.741660619251775,37.833333333333336,6.6156380392723015,9.805750363607434,2.2341363322024885,3.57615560188436,17.000000000000004,9.010380840220696,24.98961915977931,Pre-Liberal Studies ,STATA 43],Pre-Liberal Studies ,Pre-Liberal Studies ,Significantly More Male,3 or more years
Preparation For Human Medicine [STATA 44],11,38,11.269427669584644,26.636363636363637,6.037759969934665,15.303866200216817,2.1277694219621477,3.8548027358389434,-11.363636363636363,-19.565767752650498,-3.161504974622229,Preparation For Human Medicine ,STATA 44],Preparation For Human Medicine ,Preparation For Human Medicine ,Significantly More Female,3 or more years
Preparation For Law [STATA 45],11,10,2.5298221281347035,7.545454545454546,2.621588692515909,19.974661529004305,2.086133095087914,1.098458724872234,-2.454545454545454,-4.746076554089491,-0.1630143550014176,Preparation For Law ,STATA 45],Preparation For Law ,Preparation For Law ,Significantly More Female,3 or more years
Preprofessional Health Programs [STATA 46],11,45.27272727272727,10.393179581734447,20.272727272727273,5.98482930568465,15.974911260945719,2.120175915036821,3.61607979141103,-25,-32.666725280601035,-17.33327471939896,Preprofessional Health Programs ,STATA 46],Preprofessional Health Programs ,Preprofessional Health Programs ,Significantly More Female,3 or more years
Psychology [STATA 47],11,419.09090909090907,55.56879438219718,191.63636363636363,15.724329729897725,11.591243740704865,2.187365032633527,17.412496699850774,-227.45454545454544,-265.54203186664574,-189.36705904244516,Psychology ,STATA 47],Psychology ,Psychology ,Significantly More Female,3 or more years
Public Relations [STATA 48],2,162.5,43.1335136523794,37.5,2.1213203435596424,1.0048373809992575,12.562563947535843,30.53686296920494,-125,-508.6212938077763,258.6212938077763,Public Relations ,STATA 48],Public Relations ,Public Relations ,Not Significantly Different,Not enough data
Religious Studies [STATA 49],11,7,2.23606797749979,8.636363636363637,2.656039430156385,19.435422184295824,2.089854849802014,1.0468370305807115,1.6363636363636367,-0.5513738089478024,3.824101081675076,Religious Studies ,STATA 49],Religious Studies ,Religious Studies ,Not Significantly Different,3 or more years
Russian,2,0,0,0,0,NaN,NaN,0,0,NaN,NaN,Russian,NA,Russian,Russian,NA,Not enough data
Russian Studies,6,2.6666666666666665,1.8618986725025255,1,0.8944271909999159,7.191011235955056,2.3519508483783675,0.8432740427115678,-1.6666666666666665,-3.6500057668375945,0.3166724335042612,Russian Studies,NA,Russian Studies,Russian Studies,Not Significantly Different,3 or more years
Sociology [STATA 52],11,72.45454545454545,21.148823307047778,44.45454545454545,13.381805830033825,16.901117508786967,2.110756272825881,7.545892648836756,-28,-43.92754024260289,-12.072459757397116,Sociology ,STATA 52],Sociology ,Sociology ,Significantly More Female,3 or more years
Software Engineering [STATA 53],9,5.666666666666667,5.477225575051661,95.11111111111111,63.01278529878767,8.120881291813053,2.300042973729044,21.083461425463618,89.44444444444444,40.95157713091952,137.93731175796938,Software Engineering ,STATA 53],Software Engineering ,Software Engineering ,Significantly More Male,3 or more years
Spanish,8,41,21.327380121738884,12.75,6.819090848492928,8.416415699974802,2.286294800394132,7.916416036132945,-28.25,-46.349260821167476,-10.15073917883252,Spanish,NA,Spanish,Spanish,Significantly More Female,3 or more years
Speech Communication [STATA 55],11,19.818181818181817,4.854239009735343,13.909090909090908,5.146932007605025,19.931831062218844,2.086420896687393,2.1331697595691947,-5.909090909090908,-10.3597808716377,-1.458400946544118,Speech Communication ,STATA 55],Speech Communication ,Speech Communication ,Significantly More Female,3 or more years
Statistics [STATA 56],11,29.727272727272727,13.085036561591329,33.72727272727273,12.554607991418203,19.96584880375533,2.0861922056649598,5.467560230672641,4,-7.406381537232972,15.406381537232972,Statistics ,STATA 56],Statistics ,Statistics ,Not Significantly Different,3 or more years
Technical Communication [STATA 57],11,9.454545454545455,4.546727094595328,8.909090909090908,2.467976720090587,15.422016037079162,2.126380742167812,1.5598262246928885,-0.5454545454545467,-3.8622389907698267,2.771329899860733,Technical Communication ,STATA 57],Technical Communication ,Technical Communication ,Not Significantly Different,3 or more years
Total,11,3163.6363636363635,220.5838945740476,3117.2727272727275,301.64187073716766,18.316903820090253,2.0983196319372146,112.67211993909694,-46.36363636363603,-282.7857576038276,190.05848487655555,Total,NA,Total,Total,Not Significantly Different,3 or more years
Women's Studies [STATA 58],11,8.090909090909092,2.6250541119963775,0.36363636363636365,0.674199862463242,11.313545811209847,2.193565792115797,0.8171710928816083,-7.727272727272728,-9.519791282923705,-5.934754171621751,Women's Studies ,STATA 58],Women's Studies ,Women's Studies ,Significantly More Female,3 or more years
World Languages and Cultures [STATA 59],7,40,14.696938456699069,16.428571428571427,4.7207747548166585,7.225054534122779,2.349774444714854,5.8344508161891815,-23.571428571428573,-37.281071998255634,-9.861785144601512,World Languages and Cultures ,STATA 59],World Languages and Cultures ,World Languages and Cultures ,Significantly More Female,3 or more years
Zoology,4,8.25,9.604686356149273,5.25,4.9916597106239795,4.510406510248318,2.6568187169306796,5.412177627043173,-3,-17.379174818881772,11.379174818881772,Zoology,NA,Zoology,Zoology,Not Significantly Different,3 or more years
