year,dept,coll,employee_group,gender,number
2014,GEOLOGICAL AND ATMOSPHERIC SCIENCES,NA,P & S,female,2
2014,GREENLEE SCHOOL JOURNALISM/COMMUNICATION,NA,P & S,female,4
2014,INTENSIVE ENGLISH & ORIENTATION PROGRAM,NA,P & S,female,3
2014,LIBERAL ARTS & SCI STUDENT ACADEMIC SRV,NA,P & S,female,8
2014,LIBERAL ARTS & SCIENCES ADMINISTRATION,NA,P & S,female,18
2014,MATHEMATICS,NA,P & S,female,2
2014,MUSIC AND THEATRE,NA,P & S,female,2
2014,PHYSICS & ASTRONOMY,NA,P & S,female,1
2014,POLITICAL SCIENCE,NA,P & S,female,0
2014,PSYCHOLOGY,NA,P & S,female,6
2014,SOCIOLOGY,LAS,P & S,female,2
2014,STATISTICS,NA,P & S,female,1
2014,WORLD LANGUAGES AND CULTURES,NA,P & S,female,2
2015,ANTHROPOLOGY,NA,P & S,female,1
2015,BIOCHEMISTRY/BIOPHYSICS & MOLC BIOL,LAS,P & S,female,6
2015,CARRIE CHAPMAN CATT CENTER,NA,P & S,female,3
2015,CHEMISTRY,NA,P & S,female,8
2015,COMPUTER SCIENCE,NA,P & S,female,7
2015,CTR FOR SURVEY STAT/METHODOLOGY,NA,P & S,female,13
2015,"ECOLOGY, EVOLUTION & ORGANISMAL BIOL",LAS,P & S,female,11
2015,ENGLISH,NA,P & S,female,4
2015,"GENETICS, DEVELOPMENT & CELL BIOLOGY",LAS,P & S,female,10
2015,GEOLOGICAL AND ATMOSPHERIC SCIENCES,NA,P & S,female,2
2015,GREENLEE SCHOOL JOURNALISM/COMMUNICATION,NA,P & S,female,4
2015,HISTORY,NA,P & S,female,0
2015,INTENSIVE ENGLISH & ORIENTATION PROGRAM,NA,P & S,female,2
2015,LIBERAL ARTS & SCI STUDENT ACADEMIC SRV,NA,P & S,female,8
2015,LIBERAL ARTS & SCIENCES ADMINISTRATION,NA,P & S,female,21
2015,MATHEMATICS,NA,P & S,female,3
2015,MUSIC AND THEATRE,NA,P & S,female,2
2015,PHYSICS & ASTRONOMY,NA,P & S,female,1
2015,POLITICAL SCIENCE,NA,P & S,female,0
2015,PSYCHOLOGY,NA,P & S,female,6
2015,SOCIOLOGY,LAS,P & S,female,1
2015,STATISTICS,NA,P & S,female,1
2015,WORLD LANGUAGES AND CULTURES,NA,P & S,female,3
2010,BIOCHEMISTRY/BIOPHYSICS & MOLC BIOL,LAS,P & S,male,4
2010,CARRIE CHAPMAN CATT CENTER,NA,P & S,male,0
2010,CHEMISTRY,NA,P & S,male,10
2010,COMPUTER SCIENCE,NA,P & S,male,3
2010,"ECOLOGY, EVOLUTION & ORGANISMAL BIOL",LAS,P & S,male,7
2010,ENGLISH,NA,P & S,male,3
2010,"GENETICS, DEVELOPMENT & CELL BIOLOGY",LAS,P & S,male,11
2010,GEOLOGICAL AND ATMOSPHERIC SCIENCES,NA,P & S,male,1
2010,GREENLEE SCHOOL JOURNALISM/COMMUNICATION,NA,P & S,male,2
2010,INTENSIVE ENGLISH & ORIENTATION PROGRAM,NA,P & S,male,1
2010,LIBERAL ARTS & SCI STUDENT ACADEMIC SRV,NA,P & S,male,4
2010,LIBERAL ARTS & SCIENCES ADMINISTRATION,NA,P & S,male,10
2010,MATHEMATICS,NA,P & S,male,1
2010,MUSIC AND THEATRE,NA,P & S,male,3
2010,PHYSICS & ASTRONOMY,NA,P & S,male,4
2010,POLITICAL SCIENCE,NA,P & S,male,1
2010,PSYCHOLOGY,NA,P & S,male,0
2010,SOCIOLOGY,LAS,P & S,male,2
2010,STATISTICS,NA,P & S,male,2
2010,WORLD LANGUAGES AND CULTURES,NA,P & S,male,2
2011,BIOCHEMISTRY/BIOPHYSICS & MOLC BIOL,LAS,P & S,male,4
2011,CARRIE CHAPMAN CATT CENTER,NA,P & S,male,0
2011,CHEMISTRY,NA,P & S,male,10
2011,COMPUTER SCIENCE,NA,P & S,male,3
2011,"ECOLOGY, EVOLUTION & ORGANISMAL BIOL",LAS,P & S,male,7
2011,ECONOMICS,LAS,P & S,male,0
2011,ENGLISH,NA,P & S,male,2
2011,"GENETICS, DEVELOPMENT & CELL BIOLOGY",LAS,P & S,male,10
2011,GEOLOGICAL AND ATMOSPHERIC SCIENCES,NA,P & S,male,1
2011,GREENLEE SCHOOL JOURNALISM/COMMUNICATION,NA,P & S,male,2
2011,INTENSIVE ENGLISH & ORIENTATION PROGRAM,NA,P & S,male,1
2011,LIBERAL ARTS & SCI STUDENT ACADEMIC SRV,NA,P & S,male,3
2011,LIBERAL ARTS & SCIENCES ADMINISTRATION,NA,P & S,male,14
2011,MATHEMATICS,NA,P & S,male,1
2011,MUSIC AND THEATRE,NA,P & S,male,3
2011,PHYSICS & ASTRONOMY,NA,P & S,male,4
2011,POLITICAL SCIENCE,NA,P & S,male,1
2011,PSYCHOLOGY,NA,P & S,male,0
2011,SOCIOLOGY,LAS,P & S,male,2
2011,WORLD LANGUAGES AND CULTURES,NA,P & S,male,1
2012,BIOCHEMISTRY/BIOPHYSICS & MOLC BIOL,LAS,P & S,male,3
2012,CARRIE CHAPMAN CATT CENTER,NA,P & S,male,0
2012,CHEMISTRY,NA,P & S,male,9
2012,COMPUTER SCIENCE,NA,P & S,male,2
2012,"ECOLOGY, EVOLUTION & ORGANISMAL BIOL",LAS,P & S,male,7
2012,ECONOMICS,LAS,P & S,male,0
2012,ENGLISH,NA,P & S,male,2
2012,"GENETICS, DEVELOPMENT & CELL BIOLOGY",LAS,P & S,male,9
2012,GEOLOGICAL AND ATMOSPHERIC SCIENCES,NA,P & S,male,1
2012,GREENLEE SCHOOL JOURNALISM/COMMUNICATION,NA,P & S,male,2
2012,INTENSIVE ENGLISH & ORIENTATION PROGRAM,NA,P & S,male,1
2012,LIBERAL ARTS & SCI STUDENT ACADEMIC SRV,NA,P & S,male,3
2012,LIBERAL ARTS & SCIENCES ADMINISTRATION,NA,P & S,male,18
2012,MATHEMATICS,NA,P & S,male,1
2012,MUSIC AND THEATRE,NA,P & S,male,3
2012,PHYSICS & ASTRONOMY,NA,P & S,male,6
2012,POLITICAL SCIENCE,NA,P & S,male,1
2012,PSYCHOLOGY,NA,P & S,male,1
2012,SOCIOLOGY,LAS,P & S,male,2
2012,STATISTICS,NA,P & S,male,1
2012,WORLD LANGUAGES AND CULTURES,NA,P & S,male,0
2013,BIOCHEMISTRY/BIOPHYSICS & MOLC BIOL,LAS,P & S,male,2
2013,CARRIE CHAPMAN CATT CENTER,NA,P & S,male,0
2013,CHEMISTRY,NA,P & S,male,11
2013,COMPUTER SCIENCE,NA,P & S,male,2
2013,"ECOLOGY, EVOLUTION & ORGANISMAL BIOL",LAS,P & S,male,7
2013,ENGLISH,NA,P & S,male,3
2013,"GENETICS, DEVELOPMENT & CELL BIOLOGY",LAS,P & S,male,12
2013,GEOLOGICAL AND ATMOSPHERIC SCIENCES,NA,P & S,male,1
2013,GREENLEE SCHOOL JOURNALISM/COMMUNICATION,NA,P & S,male,3
2013,INTENSIVE ENGLISH & ORIENTATION PROGRAM,NA,P & S,male,1
2013,LIBERAL ARTS & SCI STUDENT ACADEMIC SRV,NA,P & S,male,4
2013,LIBERAL ARTS & SCIENCES ADMINISTRATION,NA,P & S,male,19
2013,MATHEMATICS,NA,P & S,male,1
2013,MUSIC AND THEATRE,NA,P & S,male,4
2013,PHYSICS & ASTRONOMY,NA,P & S,male,6
2013,POLITICAL SCIENCE,NA,P & S,male,1
2013,PSYCHOLOGY,NA,P & S,male,1
2013,SOCIOLOGY,LAS,P & S,male,2
2013,STATISTICS,NA,P & S,male,1
2013,WORLD LANGUAGES AND CULTURES,NA,P & S,male,0
2014,BIOCHEMISTRY/BIOPHYSICS & MOLC BIOL,LAS,P & S,male,2
2014,CARRIE CHAPMAN CATT CENTER,NA,P & S,male,0
2014,CHEMISTRY,NA,P & S,male,10
2014,COMPUTER SCIENCE,NA,P & S,male,2
2014,"ECOLOGY, EVOLUTION & ORGANISMAL BIOL",LAS,P & S,male,6
2014,ENGLISH,NA,P & S,male,2
2014,"GENETICS, DEVELOPMENT & CELL BIOLOGY",LAS,P & S,male,12
2014,GEOLOGICAL AND ATMOSPHERIC SCIENCES,NA,P & S,male,1
2014,GREENLEE SCHOOL JOURNALISM/COMMUNICATION,NA,P & S,male,3
2014,INTENSIVE ENGLISH & ORIENTATION PROGRAM,NA,P & S,male,1
2014,LIBERAL ARTS & SCI STUDENT ACADEMIC SRV,NA,P & S,male,5
2014,LIBERAL ARTS & SCIENCES ADMINISTRATION,NA,P & S,male,20
2014,MATHEMATICS,NA,P & S,male,2
2014,MUSIC AND THEATRE,NA,P & S,male,4
2014,PHYSICS & ASTRONOMY,NA,P & S,male,7
2014,POLITICAL SCIENCE,NA,P & S,male,1
2014,PSYCHOLOGY,NA,P & S,male,1
2014,SOCIOLOGY,LAS,P & S,male,2
2014,STATISTICS,NA,P & S,male,0
2014,WORLD LANGUAGES AND CULTURES,NA,P & S,male,1
2015,ANTHROPOLOGY,NA,P & S,male,0
2015,BIOCHEMISTRY/BIOPHYSICS & MOLC BIOL,LAS,P & S,male,2
2015,CARRIE CHAPMAN CATT CENTER,NA,P & S,male,0
2015,CHEMISTRY,NA,P & S,male,14
2015,COMPUTER SCIENCE,NA,P & S,male,2
2015,CTR FOR SURVEY STAT/METHODOLOGY,NA,P & S,male,16
2015,"ECOLOGY, EVOLUTION & ORGANISMAL BIOL",LAS,P & S,male,6
2015,ENGLISH,NA,P & S,male,2
2015,"GENETICS, DEVELOPMENT & CELL BIOLOGY",LAS,P & S,male,8
2015,GEOLOGICAL AND ATMOSPHERIC SCIENCES,NA,P & S,male,2
2015,GREENLEE SCHOOL JOURNALISM/COMMUNICATION,NA,P & S,male,3
2015,HISTORY,NA,P & S,male,1
2015,INTENSIVE ENGLISH & ORIENTATION PROGRAM,NA,P & S,male,1
2015,LIBERAL ARTS & SCI STUDENT ACADEMIC SRV,NA,P & S,male,5
2015,LIBERAL ARTS & SCIENCES ADMINISTRATION,NA,P & S,male,22
2015,MATHEMATICS,NA,P & S,male,2
2015,MUSIC AND THEATRE,NA,P & S,male,4
2015,PHYSICS & ASTRONOMY,NA,P & S,male,8
2015,POLITICAL SCIENCE,NA,P & S,male,1
2015,PSYCHOLOGY,NA,P & S,male,1
2015,SOCIOLOGY,LAS,P & S,male,2
2015,STATISTICS,NA,P & S,male,0
2015,WORLD LANGUAGES AND CULTURES,NA,P & S,male,1
