dept,dept_code,n_female,n_male,n_enrolled_all,prop_female,prop_male,last_year,n_2015,sigma_diff,ci_lower,ci_upper,dept_f,dept_new,change_dir
Liberal Arts and Sciences Specials (Non-Degree) ,STATA 2],1102,1062,2164,0.5092421441774492,0.4907578558225508,2015,244,0.010549664102973044,0.488564802535622,0.5299194858192764,Liberal Arts and Sciences Specials (Non-Degree) ,Liberal Arts and Sciences Specials (Non-Degree) ,Not Significantly Different
Liberal Arts and Sciences- Open Option ,STATA 27],12,14,26,0.46153846153846156,0.5384615384615384,2015,3,0.10560099584363755,0.25456050968493193,0.6685164133919912,Liberal Arts and Sciences- Open Option ,Liberal Arts and Sciences- Open Option ,Not Significantly Different
Liberal Studies ,STATA 28],651,749,1400,0.465,0.5349999999999999,2015,111,0.014298476442314703,0.4369749861730632,0.49302501382693686,Liberal Studies ,Liberal Studies ,More Male
Linguistics ,STATA 29],363,138,501,0.7245508982035929,0.27544910179640714,2015,66,0.012306158307786485,0.7004308279203314,0.7486709684868543,Linguistics ,Linguistics ,More Female
Mathematics ,STATA 30],642,1041,1683,0.38146167557932265,0.6185383244206774,2015,198,0.015077333997154744,0.35191010094489933,0.41101325021374596,Mathematics ,Mathematics ,More Male
Meteorology ,STATA 31],411,739,1150,0.35739130434782607,0.6426086956521739,2015,93,0.018949496625820694,0.3202502909612175,0.39453231773443465,Meteorology ,Meteorology ,More Male
Music (Curriculum) ,STATA 32],543,594,1137,0.47757255936675463,0.5224274406332454,2015,107,0.015493364844379616,0.4472055642717706,0.5079395544617387,Music (Curriculum) ,Music (Curriculum) ,Not Significantly Different
Open Option (LAS) ,STATA 34],4417,4074,8491,0.5201978565539983,0.4798021434460017,2015,907,0.005206942278585279,0.5099922496879712,0.5304034634200254,Open Option (LAS) ,Open Option (LAS) ,More Female
Performing Arts ,STATA 35],363,272,635,0.5716535433070866,0.4283464566929134,2015,48,0.016998410623311203,0.5383366584853967,0.6049704281287765,Performing Arts ,Performing Arts ,More Female
Philosophy ,STATA 36],57,271,328,0.17378048780487804,0.8262195121951219,2015,32,0.0456203408022613,0.08436461983244589,0.26319635577731015,Philosophy ,Philosophy ,More Male
Physics ,STATA 37],147,716,863,0.17033603707995365,0.8296639629200464,2015,96,0.028242089743915125,0.11498154118188,0.2256905329780273,Physics ,Physics ,More Male
Political Science ,STATA 38],1029,1585,2614,0.3936495791889824,0.6063504208110175,2015,211,0.011859623219094688,0.37040471767955685,0.416894440698408,Political Science ,Political Science ,More Male
Pre-Biological/Pre-Medical Illustration ,STATA 40],279,78,357,0.7815126050420168,0.2184873949579832,2015,54,0.011563579180377346,0.7588479898484772,0.8041772202355564,Pre-Biological/Pre-Medical Illustration ,Pre-Biological/Pre-Medical Illustration ,More Female
Pre-Computer Science ,STATA 41],184,1901,2085,0.08824940047961631,0.9117505995203837,2015,318,0.01996746941603942,0.04911316042417905,0.12738564053505358,Pre-Computer Science ,Pre-Computer Science ,More Male
Pre-Liberal Studies ,STATA 43],125,227,352,0.35511363636363635,0.6448863636363636,2015,56,0.03437255867380935,0.28774342136297004,0.42248385136430266,Pre-Liberal Studies ,Pre-Liberal Studies ,More Male
Preparation For Human Medicine ,STATA 44],418,293,711,0.5879043600562588,0.4120956399437412,2015,77,0.015454793950835677,0.5576129639126208,0.6181957561998968,Preparation For Human Medicine ,Preparation For Human Medicine ,More Female
Preparation For Law ,STATA 45],110,83,193,0.5699481865284974,0.43005181347150256,2015,15,0.030955806897482716,0.5092748050094313,0.6306215680475635,Preparation For Law ,Preparation For Law ,More Female
Preprofessional Health Programs ,STATA 46],498,223,721,0.6907073509015257,0.3092926490984743,2015,47,0.011518660178045802,0.668130776952556,0.7132839248504954,Preprofessional Health Programs ,Preprofessional Health Programs ,More Female
Psychology ,STATA 47],4610,2108,6718,0.6862161357546889,0.31378386424531113,2015,712,0.0038283409360742996,0.6787125875199832,0.6937196839893945,Psychology ,Psychology ,More Female
Public Relations ,STATA 48],325,75,400,0.8125,0.1875,2015,232,0.009375,0.794125,0.830875,Public Relations ,Public Relations ,More Female
Religious Studies ,STATA 49],77,95,172,0.4476744186046512,0.5523255813953488,2015,13,0.042114430760457684,0.3651301343141541,0.5302187028951483,Religious Studies ,Religious Studies ,Not Significantly Different
Sociology ,STATA 52],797,489,1286,0.619751166407465,0.38024883359253503,2015,73,0.010603455210525485,0.598968394194835,0.6405339386200949,Sociology ,Sociology ,More Female
Software Engineering ,STATA 53],51,856,907,0.05622932745314223,0.9437706725468578,2015,223,0.03133739083496731,-0.005191958583393698,0.11765061348967815,Software Engineering ,Software Engineering ,More Male
Speech Communication ,STATA 55],218,153,371,0.5876010781671159,0.41239892183288407,2015,23,0.021410685213646426,0.545636135148369,0.6295660211858629,Speech Communication ,Speech Communication ,More Female
Statistics ,STATA 56],327,371,698,0.4684813753581662,0.5315186246418337,2015,80,0.020118276639165926,0.429049553145401,0.5079131975709315,Statistics ,Statistics ,Not Significantly Different
Technical Communication ,STATA 57],104,98,202,0.5148514851485149,0.48514851485148514,2015,25,0.03413493038790525,0.4479470215882206,0.5817559487088092,Technical Communication ,Technical Communication ,Not Significantly Different
Women's Studies ,STATA 58],89,4,93,0.956989247311828,0.043010752688172005,2015,13,0.0044600072891631155,0.9482476330250683,0.9657308615985877,Women's Studies ,Women's Studies ,More Female
World Languages and Cultures ,STATA 59],280,115,395,0.7088607594936709,0.2911392405063291,2015,73,0.014648804968117006,0.6801491017561616,0.7375724172311802,World Languages and Cultures ,World Languages and Cultures ,More Female
